Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5
0,0.1809573920799732,0.1818797038600653,0.1818797038600653,0.1994548395145483,0.2230557967572697,0.2308226160100936
1,0.1109730889881304,0.1512996140608319,0.1769722100114457,0.2308226160100936,0.2308226160100936,0.2308226160100936
2,0.0530730660073192,0.0897452335090785,0.1708669472694875,0.2230557967572697,0.2230557967572697,0.2230557967572697
3,0.1476367716672405,0.1604948047755671,0.1994548395145483,0.2230557967572697,0.2308226160100936,0.2308226160100936
4,0.0676464651544963,0.0982925407578813,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277
5,0.1043637375777794,0.117548934788562,0.1313215605460955,0.1647621069805538,0.212514374592277,0.212514374592277
6,0.0609219941114589,0.0934830454239207,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697
7,0.0353418486060388,0.103033098415473,0.1926010995826954,0.212514374592277,0.2230557967572697,0.2308226160100936
8,0.0735041966157858,0.0910562890436967,0.1926010995826954,0.212514374592277,0.2230557967572697,0.2308226160100936
9,0.0767700539496093,0.1424907979131491,0.212514374592277,0.218052316028884,0.2308226160100936,0.2308226160100936
10,0.1260811041239576,0.1809573920799732,0.1826486707686229,0.2308226160100936,0.2308226160100936,0.2308226160100936
11,0.0959986287318944,0.1417917634694561,0.1994548395145483,0.212514374592277,0.212514374592277,0.2230557967572697
12,0.1934247165322419,0.2280527900820491,0.2280527900820491,0.2280527900820491,0.2280527900820491,0.2280527900820491
13,0.0552138155741195,0.0835171142653884,0.1391949170875965,0.218052316028884,0.218052316028884,0.218052316028884
14,0.0939821629676716,0.1539518980564657,0.1539518980564657,0.1557367510468285,0.1557367510468285,0.1557367510468285
15,0.0943744308212208,0.126258762497002,0.126258762497002,0.1863310345108159,0.2042625723021851,0.2230557967572697
16,0.0303975732049089,0.0489282607305949,0.1451703687142151,0.1827671182815548,0.2308226160100936,0.2308226160100936
17,0.0853487796119619,0.1374438363069844,0.1604948047755671,0.218052316028884,0.2230557967572697,0.2230557967572697
18,0.0103893262059606,0.0639966307095026,0.1451703687142151,0.218052316028884,0.2230557967572697,0.2308226160100936
19,0.0758874547065282,0.0912033430290231,0.102548920110544,0.1386863460027617,0.1769722100114457,0.2230557967572697
20,0.0680887005146109,0.0721395693242542,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697
21,0.0628859706312278,0.0867877686529297,0.1338784528988783,0.1826486707686229,0.1826486707686229,0.2230557967572697
22,0.0589416475838574,0.0954009275261617,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697
23,0.1500565411676698,0.1863310345108159,0.1863310345108159,0.2230557967572697,0.2230557967572697,0.2308226160100936
24,0.0294905696953991,0.091672400380074,0.1769722100114457,0.218052316028884,0.218052316028884,0.2230557967572697
25,0.1126386417449539,0.1253530629848094,0.1863310345108159,0.2230557967572697,0.2230557967572697,0.2230557967572697
26,0.0582226429443824,0.0897452335090785,0.1698521663837583,0.2230557967572697,0.2230557967572697,0.2308226160100936
27,0.1781537848229372,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697
28,0.0590132655574037,0.1413001457538399,0.1926010995826954,0.1994548395145483,0.2230557967572697,0.2308226160100936
29,0.1310812244711727,0.1918122875791174,0.218052316028884,0.218052316028884,0.2230557967572697,0.2308226160100936
