Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5,DTL 6,DTL 7,DTL 8,DTL 9,DTL 10,DTL 11,DTL 12,DTL 13,DTL 14,DTL 15,DTL 16,DTL 17,DTL 18,DTL 19,DTL 20,DTL 21,DTL 22,DTL 23,DTL 24,DTL 25
0,0.1809573920799732,0.1818797038600653,0.1818797038600653,0.1818797038600653,0.1818797038600653,0.1818797038600653,0.1818797038600653,0.1818797038600653,0.1818797038600653,0.1818797038600653,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.1994548395145483,0.2042625723021851,0.2042625723021851,0.218052316028884,0.218052316028884,0.2230557967572697,0.2230557967572697,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
1,0.1109730889881304,0.1109730889881304,0.1109730889881304,0.1512996140608319,0.1539518980564657,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
2,0.0530730660073192,0.0719624273719508,0.0754444097065473,0.1068472029798619,0.1068472029798619,0.1708669472694875,0.1708669472694875,0.1827671182815548,0.1863310345108159,0.1863310345108159,0.1863310345108159,0.1863310345108159,0.1863310345108159,0.1863310345108159,0.1863310345108159,0.1863310345108159,0.2042625723021851,0.2042625723021851,0.2042625723021851,0.2042625723021851,0.2042625723021851,0.2042625723021851,0.2042625723021851,0.2042625723021851,0.2042625723021851,0.2230557967572697
3,0.1476367716672405,0.1599015824115282,0.162285263139554,0.1827671182815548,0.1827671182815548,0.1827671182815548,0.1827671182815548,0.1994548395145483,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
4,0.0676464651544963,0.0982925407578813,0.0982925407578813,0.0982925407578813,0.0982925407578813,0.0982925407578813,0.1826486707686229,0.1826486707686229,0.1826486707686229,0.1826486707686229,0.1826486707686229,0.1826486707686229,0.1826486707686229,0.1826486707686229,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.2230557967572697,0.2230557967572697
5,0.1043637375777794,0.106860147148846,0.106860147148846,0.106860147148846,0.106860147148846,0.117548934788562,0.1313215605460955,0.1501304861335543,0.1708669472694875,0.1708669472694875,0.1708669472694875,0.1708669472694875,0.1708669472694875,0.1708669472694875,0.1708669472694875,0.1827671182815548,0.1827671182815548,0.1827671182815548,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2308226160100936
6,0.0609219941114589,0.0721306106545726,0.106221287940999,0.1539518980564657,0.1539518980564657,0.1539518980564657,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
7,0.0353418486060388,0.0353418486060388,0.0353418486060388,0.0353418486060388,0.0682511812467973,0.0682511812467973,0.0821710783677357,0.0821710783677357,0.0821710783677357,0.0821710783677357,0.0821710783677357,0.1826486707686229,0.212514374592277,0.212514374592277,0.212514374592277,0.212514374592277,0.2230557967572697,0.2230557967572697,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
8,0.0735041966157858,0.0735041966157858,0.0862526850882043,0.0878711607409637,0.1926010995826954,0.1994548395145483,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
9,0.0767700539496093,0.0926623491615488,0.1057147706550478,0.1057147706550478,0.142184149384758,0.212514374592277,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.218052316028884,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2230557967572697,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936,0.2308226160100936
