Experiments,Time,s1,s2,s3,s4,s5,volume,product,rf1,rf2,rf3,rf4,rf5,rf6,rf7,feed
Exp_0,0.0,0.010619183176785741,0.01062761868736211,0.009655565508076539,0.01083047624407397,0.010403654093105364,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.046153846153846156
Exp_0,26.0,0.007880656743912157,0.007337145222470948,0.00784007043976288,0.007557859111161974,0.009300446823653481,7.865792778741844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.022931174089068824
Exp_0,52.0,0.007209390517476198,0.006766294876786845,0.00690300684960533,0.00727771927972306,0.008568646534476717,8.298113011660694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01195141700404858
Exp_0,78.0,0.006651252613967197,0.005716061027490598,0.006710531334028617,0.006387049647130031,0.008503610227762153,8.54728224280658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.007967611336032394
Exp_0,104.0,0.006534908353276393,0.004853783357773019,0.006452392237490828,0.007034871652432146,0.010225478979775562,8.727520597851582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.005732793522267205
Exp_0,130.0,0.006827298380397379,0.004170658000724998,0.007679220045442491,0.00638042848459508,0.010523907683611444,8.81533145034908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Exp_1,0.0,0.010139370428048,0.009314525764952696,0.009833762362324293,0.010979705671194143,0.008987477118501265,7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06315789473684211
Exp_1,26.0,0.007457101532274679,0.006992057481400953,0.007697638893631867,0.007870051437086297,0.008677161848141771,8.453829344856281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04873846153846154
Exp_1,52.0,0.00650332704833795,0.005707817128628545,0.00684083215345117,0.006764241039970811,0.007533702442371882,9.539118420443288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03486315789473684
Exp_1,78.0,0.0060501179923810955,0.004144839941895342,0.00617804768051814,0.006465724052073156,0.00885516485217195,10.274526620736665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02188178137651822
Exp_1,104.0,0.006767397491211412,0.003554310856898617,0.007301490661002544,0.0071382548756440236,0.010185467144556013,10.687919519072524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01014412955465587
